"id"	"trader_id"	"exchange_id"	"exchange_type"	"order_id"	"exchange_order_id"	"exchange_trade_id"	"symbol"	"side"	"price"	"quantity"	"quote_quantity"	"commission"	"commission_asset"	"realized_pnl"	"is_maker"	"created_at"
"1"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"1"	"385253775"	"385253775"	"TONUSDT"	"BUY"	"1.3539"	"18.5"	"25.04715"	"0.01252357"	"USDT"	"0"	"0"	"1771900455449"
"2"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"2"	"385286525"	"385286525"	"TONUSDT"	"SELL"	"1.3342"	"18.5"	"24.6827"	"0.01234135"	"USDT"	"-0.36445"	"0"	"1771907586135"
"3"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"3"	"3182939627"	"3182939627"	"SOLUSDT"	"BUY"	"77.17"	"0.3"	"23.151"	"0.0115755"	"USDT"	"0"	"0"	"1771918090911"
"4"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"4"	"3183042581"	"3183042581"	"SOLUSDT"	"SELL"	"76.87"	"0.08"	"6.1496"	"0.0030748"	"USDT"	"-0.024"	"0"	"1771924365731"
"5"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"5"	"3183042582"	"3183042582"	"SOLUSDT"	"SELL"	"76.87"	"0.13"	"9.9931"	"0.00499655"	"USDT"	"-0.039"	"0"	"1771924365731"
"6"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"6"	"3183042583"	"3183042583"	"SOLUSDT"	"SELL"	"76.87"	"0.09"	"6.9183"	"0.00345915"	"USDT"	"-0.027"	"0"	"1771924365731"
"7"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"7"	"109862301"	"109862301"	"KITEUSDT"	"BUY"	"0.26715"	"39"	"10.41885"	"0.00520942"	"USDT"	"0"	"0"	"1771984092350"
"8"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"8"	"109862302"	"109862302"	"KITEUSDT"	"BUY"	"0.26715"	"81"	"21.63915"	"0.01081957"	"USDT"	"0"	"0"	"1771984092350"
"9"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"9"	"110148095"	"110148095"	"KITEUSDT"	"SELL"	"0.26167"	"86"	"22.50362"	"0.01125181"	"USDT"	"-0.47128"	"0"	"1771997997163"
"10"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"10"	"110148096"	"110148096"	"KITEUSDT"	"SELL"	"0.26167"	"34"	"8.89678"	"0.00444839"	"USDT"	"-0.18632"	"0"	"1771997997163"
"11"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"11"	"96131729"	"96131729"	"SIRENUSDT"	"BUY"	"0.37164"	"85"	"31.5894"	"0.01579469"	"USDT"	"0"	"0"	"1771998919567"
"12"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"12"	"96808049"	"96808049"	"SIRENUSDT"	"SELL"	"0.37234"	"85"	"31.6489"	"0.01582445"	"USDT"	"0.0595"	"0"	"1772018343843"
"13"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"13"	"125458295"	"125458295"	"POWERUSDT"	"BUY"	"0.74987"	"40"	"29.9948"	"0.0149974"	"USDT"	"0"	"0"	"1772019241154"
"14"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"14"	"126329663"	"126329663"	"POWERUSDT"	"SELL"	"0.77549"	"26"	"20.16274"	"0.01008136"	"USDT"	"0.66612"	"0"	"1772026088561"
